,week-year,state,new_case
970,08-2021,FL,40088
971,08-2021,FSM,0
972,08-2021,GA,20440
973,08-2021,GU,19
974,08-2021,HI,408
975,08-2021,IA,3779
976,08-2021,ID,1990
977,08-2021,IL,12623
978,08-2021,IN,6369
979,08-2021,KS,2831
980,08-2021,KY,7187
981,08-2021,LA,6305
982,08-2021,MA,11916
983,08-2021,MD,5535
984,08-2021,ME,1149
985,08-2021,MI,8491
986,08-2021,MN,5633
987,08-2021,MO,4208
988,08-2021,MP,8
989,08-2021,MS,3574
990,08-2021,MT,1196
991,08-2021,NC,16293
992,08-2021,ND,532
993,08-2021,NE,2190
994,08-2021,NH,2005
995,08-2021,NJ,22593
996,08-2021,NM,2413
997,08-2021,NV,2817
998,08-2021,NY,23949
999,08-2021,NYC,28380
1000,08-2021,OH,13848
1001,08-2021,OK,3231
1002,08-2021,OR,2604
1003,08-2021,PA,18030
1004,08-2021,PR,1379
1005,08-2021,PW,0
1006,08-2021,RI,2362
1007,08-2021,RMI,0
1008,08-2021,SC,10248
1009,08-2021,SD,1128
1010,08-2021,TN,9836
1011,08-2021,TX,56592
1012,08-2021,UT,4736
1013,08-2021,VA,12502
1014,08-2021,VI,67
1015,08-2021,VT,674
1016,08-2021,WA,5812
1017,08-2021,WI,5097
1018,08-2021,WV,2216
1019,08-2021,WY,667
1020,08-2022,AK,2611
1021,08-2022,AL,6314
1022,08-2022,AR,5006
1023,08-2022,AS,27
1024,08-2022,AZ,11231
1025,08-2022,CA,74479
1026,08-2022,CO,5421
1027,08-2022,CT,3050
1028,08-2022,DC,629
1029,08-2022,DE,799
1030,08-2022,FL,21238
1031,08-2022,FSM,2
1032,08-2022,GA,10755
1033,08-2022,GU,1800
1034,08-2022,HI,1672
1035,08-2022,IA,3319
1036,08-2022,ID,9125
1037,08-2022,IL,13028
1038,08-2022,IN,6062
1039,08-2022,KS,3485
1040,08-2022,KY,11089
1041,08-2022,LA,5420
1042,08-2022,MA,8388
1043,08-2022,MD,4462
1044,08-2022,ME,1685
1045,08-2022,MI,14793
1046,08-2022,MN,7835
1047,08-2022,MO,7267
1048,08-2022,MP,951
1049,08-2022,MS,3528
1050,08-2022,MT,4075
1051,08-2022,NC,16120
1052,08-2022,ND,1151
1053,08-2022,NE,968
1054,08-2022,NH,4032
1055,08-2022,NJ,10084
1056,08-2022,NM,3460
1057,08-2022,NV,4042
1058,08-2022,NY,9820
1059,08-2022,NYC,5829
1060,08-2022,OH,8705
1061,08-2022,OK,5979
1062,08-2022,OR,6308
1063,08-2022,PA,12773
1064,08-2022,PR,1892
1065,08-2022,PW,263
1066,08-2022,RI,1351
1067,08-2022,RMI,0
1068,08-2022,SC,7101
1069,08-2022,SD,826
1070,08-2022,TN,12158
1071,08-2022,TX,34821
1072,08-2022,UT,3734
1073,08-2022,VA,13825
